ArrayID	Name	BitVector
LOC285965	LOC285965: LOC285965	20122220021121222020022222212021222202220221220111220122022021000120102202102222211212120201002222220002202112022012020222222202222122
C19orf76	C19orf76: C19orf76	21020111101000102201010110010212210210012120102010222010001101022202001101001112001100122020111100202002112201202102001211210210211112
APIP	APIP: APIP	01211011011212111002101110111111111110010010011211011212210111221001112121220121021111211111212110110220011121110120201010200010111100
RSAD1	RSAD1: RSAD1	01111111211101111201101010111111111011102101112011001111110111111001110101121101011101212111121100112111111110110111102010100021111001
NLGN4Y	NLGN4Y: NLGN4Y	00002000222200002002020122000000200222220000220200220022202222000202220020002022202220000220220020222222222020000222201220020222202220
C1orf43	C1orf43: C1orf43	01111111101111111101111111111111111110111101111111111111111112121101111111120111011111112111211111101111111111111120101011111111111111
MITD1	MITD1: MITD1	11121011111110112111111111111111111111111011111111002111110112112011111111110111011211111111111111112111111121111121111010121011111111
GC	GC: GC	00002000000000000220001220000022000021011000002000020000002000002020000000002000200200001200000210010000012201002001020000020200202222
RRS1	RRS1: RRS1	21110111101102002000110100111201112200012111011112211211112111121101111011200111021111212111222110001120101112111111201010111111011111
IL15	IL15: IL15	21021121010020222011022222011011102121121010221200111121012011112122111110012110102201121211101112221102111221012121021202111211211111
LOC100129662	LOC100129662: LOC100129662	20102001120022210020011022202110002020000020210011000022010100000021012000022201212202021211002022201100000000020112000002000001221000
MEGF10	MEGF10: MEGF10	12211212122121220021121022221110201112222222220110200020022100100222220201002012211222020200101202210102211102011102120212200212022222
DOK3	DOK3: DOK3	20020021120000221110011212000112222022221021220201102012020000002012002110001022002202100212002222222112100221121022010200202221100001
GPR78	GPR78: GPR78	00000000000000000000000000000000000200000000200000000000000000000000000010000000000000000100100000000000000000000000000010000000000000
CSPG4	CSPG4: CSPG4	11001012210020122220021122120120002122221110211101121011002000001212002200001011202100120012012222211002112101102002020202111210112122
