ArrayID	Name	BitVector
C3orf38	229174_at	011110011121211111122110122110111122112222222121112111211121111112222212112212221110100100000000010011221211221111011120012011222222222222222222222222122222222210110111101010122212222121221122222222212120122110111121112222222222
PIGP	221689_s_at	222222122222222222222222222221112222222222222222222222222222222222212122221211221210100000020010020022222221222222122221112222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
PLAC7	239583_x_at	101101100000000100000000000000000000000000000000010000001000010000010000000000001012122111202211202210100101001100000001000100000000000000000000000000001000000001101001111111100010000110000000000000000101000010111000100000000000
ZNF670	223898_at	000000000000000000000000000000000000000000000000000000000000000000010000001000000000000000000000000000000000000000000000000000100000000200000122000000000000002000000000000000001000000000100000000010000010100010110000012222222222
GNS	212334_at	222222222222222221222222222222222222222222222222222222222222222222222222222222222220210121020021020022222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222
CXCL6	206336_at	000000000000000000000000000000000000011000000000000000000000000000000000000000000000000000000000000000000000000000000100000000200010000011120000000000000000210222110120020100002220021000000000010000000000020000000000002020122002
CEP350	204373_s_at	212222112222222222222222222222222222222222222222222222221222212222212222222222222220010101020011020022222222222222222222222122222222222222212222222222222222222211122222112112122222222212222222222222212120222210210222222222222222
NF2	217150_s_at	011001010000000110100000000100001001001110011111010010112110120101011111001100110002101110202212210111000101000101001010110001011010101010000000111001100111100001111110111211011111111111111111111101111012011022122111000000001100
FLJ44450	237111_at	010000000000000000100000100100100000100001000110010000001000120000000000000100000002112112212212211211000000000000000010100000000000000000000000000000000000000001011000000211000000000100000001000000000002000011011000000000000000
SFTPA2	218835_at	111101000111000111110011111012111112101221111100222220212121121212201011110210110121111011101111101101111111122111121121111111111122210101222111210222121112211100110001001100001100001000011000121000000101001001000000001111111111
LOC100134282	213605_s_at	100010001201220010110010011202122021111110101110001111120110200111001112120112120122122110211222212110201020001010111212221000101001010200001111100201101010002000000000000000010010100011100110010011111010010211211012011111111111
PYCARD	221666_s_at	222222212222222222222222212221222222222222222222222222222222222222222222222222221220210020001011020222122222222220112222112222222222222212222222222222222222222211121111112111122222112112221122222221212222122210101222221222221222
SMS	202043_s_at	222222222222221222222222222222122222222222222122222222222222222212212122221222222210110000020010020022222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222222211221222222222222222
TTC12	244571_s_at	001000000101110001000010110101111000000000000001000000000010000010011000111111011011101001111111201100100100010000000111111010000011010100001111000010011010001100000000001000011100010100111000110011001100001111210011112222222222
NFXL1	227220_at	010000011111110110111110011111011011111111111011111111110110101101112112120211121110000000000000000000111100111000000222222111111222121211212222011121012111112111121112021011122222222122222221222222222221222222221222222222222222
UQCRC2	200883_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220121120010012020022222222222222222222122222222222222222222222222222222222222222222222222222222222222222222222222222222222222211222222222222222222
ITGAV	202351_at	222222222222222222222222222222222222222222222222222222222222222222222222222222222220220220120020020022222222222221222222222222222222222222222222222222222222222222222222222222222222222222222222222222222221222222220222222222222222
LY75	205668_at	222222222222222212222222222222222222222222222222222222222222122222222222222222221210220220010020020022222222222222222212111122222222222222222222222222222222222211222222212022222222122222222022222220222220222210210222222222222222
IL9R	217212_s_at	000000100010000000000011100100101000000001001111100000101001020000011000001000000112122111212212201211111100101110101000000001100010100000110100000000001010110111000000000101000100000101010000010000000101000100100000001100101010
PPL	203407_at	100001001001110010010010001001000001101111111011111111111111110111110111121011211101000010020010010110110000000001111110110101011111110011001000111121111112100111121102201112122122112111211221211111211121110100100222122212222222
MTF2	209704_at	110010011211211111111111111111111011111111111001011112110111101111112222122222221220000000000000010001111210111100111221211110111112121211112222111121112111112011111021011000112211122112211111121122112120221110111111112222222222
