A_23_P252981	A_23_P101615	9	8	6	0	0.866	-0.816	-1.00	1.73	0.531	0.667	0.616	0.00
A_23_P252981	A_23_P101623	28	130	27	6	2.65	-1.60	-5.38	3.67	0.338	0.883	0.638	0.110
A_23_P252981	A_23_P101636	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101642	269	2	6	39	-2.15	5.67	5.38	-13.5	0.982	0.0275	0.0761	0.888
A_23_P252981	A_23_P101655	28	32	0	3	-0.192	0.343	1.41	-0.707	0.712	0.707	0.00	0.417
A_23_P252981	A_23_P101671	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101683	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101699	11	27	10	0	1.46	-1.07	-2.24	2.45	0.391	0.828	0.682	0.00
A_23_P252981	A_23_P101707	16	21	0	10	-0.832	0.800	2.00	-1.13	0.681	0.604	0.00	0.611
A_23_P252981	A_23_P10172	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P101737	44	23	6	13	-0.801	1.11	1.73	-1.77	0.755	0.480	0.209	0.501
A_23_P252981	A_23_P101742	6	8	0	1	0.00	0.333	1.00	0.00	0.629	0.667	0.00	0.300
A_23_P252981	A_23_P101759	63	24	6	28	-1.84	2.27	3.13	-3.36	0.808	0.363	0.129	0.664
A_23_P252981	A_23_P101761	88	82	13	17	-0.216	0.325	0.750	-0.516	0.689	0.650	0.273	0.359
A_23_P252981	A_23_P101774	98	123	52	4	2.01	-2.08	-3.77	4.31	0.545	0.757	0.628	0.0507
A_23_P252981	A_23_P101783	144	44	13	24	-1.04	1.72	2.55	-3.46	0.837	0.435	0.212	0.490
A_23_P252981	A_23_P101796	64	34	9	4	0.124	0.00	0.00	0.447	0.756	0.608	0.382	0.194
A_23_P252981	A_23_P101806	40	44	2	15	-0.845	0.849	2.12	-1.58	0.700	0.625	0.0788	0.542
A_23_P252981	A_23_P101811	30	34	3	13	-0.577	0.649	1.51	-0.949	0.672	0.616	0.132	0.518
A_23_P252981	A_23_P10182	145	109	18	19	-0.167	0.283	0.655	-0.485	0.726	0.636	0.292	0.324
A_23_P252981	A_23_P101829	16	12	5	13	-0.832	1.00	1.33	-0.949	0.639	0.438	0.245	0.592
A_23_P252981	A_23_P101871	6	130	25	7	3.92	-1.80	-7.76	3.85	0.116	0.945	0.769	0.131
A_23_P252981	A_23_P101893	38	40	5	15	-0.507	0.603	1.33	-0.866	0.672	0.610	0.176	0.491
A_23_P252981	A_23_P101905	28	74	18	10	1.48	-0.985	-2.53	2.06	0.434	0.795	0.502	0.231
A_23_P252981	A_23_P101908	40	37	3	19	-1.03	1.06	2.21	-1.66	0.711	0.562	0.0993	0.580
A_23_P252981	A_23_P10194	38	44	18	0	1.18	-1.15	-2.11	2.83	0.562	0.754	0.632	0.00
A_23_P252981	A_23_P101943	2	3	2	0	0.577	0.00	0.00	1.00	0.367	0.625	0.533	0.00
A_23_P252981	A_23_P101950	2	36	22	0	3.50	-2.71	-4.33	3.74	0.0656	0.948	0.918	0.00
A_23_P252981	A_23_P101960	118	1	1	37	-2.83	5.20	5.20	-8.54	0.983	0.0170	0.0170	0.949
A_23_P252981	A_23_P101972	92	159	39	9	1.72	-1.43	-3.62	3.46	0.531	0.786	0.546	0.118
A_23_P252981	A_23_P101992	0	213	0	35	1.00	0.0684	1.00	0.167	0.00	0.925	0.00	0.556
A_23_P252981	A_23_P102000	97	96	38	12	1.06	-1.08	-1.89	2.29	0.607	0.688	0.512	0.173
A_23_P252981	A_23_P102017	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P102037	58	4	0	26	-2.65	3.84	4.24	-5.67	0.952	0.0963	0.00	0.901
A_23_P252981	A_23_P102058	0	108	0	15	1.00	0.0958	1.00	0.250	0.00	0.931	0.00	0.529
A_23_P252981	A_23_P10206	122	51	8	37	-1.77	2.27	3.66	-4.13	0.816	0.433	0.117	0.610
A_23_P252981	A_23_P102060	0	1	1	4	1.00	0.00	0.00	0.447	0.00	0.333	0.333	0.667
A_23_P252981	A_23_P102071	73	24	10	11	-0.482	0.928	1.29	-1.51	0.807	0.456	0.287	0.403
A_23_P252981	A_23_P102083	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P102109	24	35	4	0	0.577	-0.348	-1.41	1.73	0.614	0.778	0.469	0.00
A_23_P252981	A_23_P10211	22	29	6	3	0.408	-0.189	-0.447	0.894	0.591	0.718	0.403	0.195
A_23_P252981	A_23_P102113	35	127	10	29	0.329	-0.0891	-0.333	0.359	0.488	0.794	0.234	0.455
A_23_P252981	A_23_P102117	37	117	9	27	0.162	0.00	0.00	0.189	0.513	0.781	0.217	0.458
A_23_P252981	A_23_P102122	8	24	4	0	0.905	-0.426	-1.41	1.73	0.429	0.844	0.554	0.00
A_23_P252981	A_23_P102160	0	60	25	0	4.24	-2.59	-6.01	4.24	0.00	0.984	0.962	0.00
A_23_P252981	A_23_P102172	66	85	2	22	-0.911	0.830	2.53	-1.81	0.695	0.673	0.0545	0.542
A_23_P252981	A_23_P102183	13	5	0	15	-1.77	1.81	2.45	-1.58	0.806	0.251	0.00	0.826
A_23_P252981	A_23_P102192	41	29	1	17	-1.20	1.32	2.67	-2.21	0.765	0.513	0.0379	0.628
A_23_P252981	A_23_P102202	1	63	17	0	3.61	-1.84	-6.50	3.74	0.0340	0.977	0.920	0.00
A_23_P252981	A_23_P102235	7	6	2	0	0.354	0.00	0.00	1.00	0.600	0.643	0.433	0.00
A_23_P252981	A_23_P102242	4	0	0	1	0.00	1.00	1.00	0.00	0.800	0.00	0.00	0.500
A_23_P252981	A_23_P102258	16	7	9	1	0.471	-0.408	-0.354	1.15	0.641	0.535	0.582	0.101
A_23_P252981	A_23_P102262	7	13	12	0	1.44	-1.33	-1.41	2.24	0.342	0.774	0.762	0.00
A_23_P252981	A_23_P102278	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P102286	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P10232	64	9	0	29	-2.65	3.59	4.36	-5.43	0.925	0.176	0.00	0.855
A_23_P252981	A_23_P102320	12	15	8	2	0.775	-0.555	-0.816	1.34	0.500	0.685	0.554	0.146
A_23_P252981	A_23_P102331	0	0	0	0	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
A_23_P252981	A_23_P102351	27	66	13	10	1.04	-0.640	-1.77	1.50	0.473	0.780	0.429	0.273
A_23_P252981	A_23_P102364	10	88	35	2	4.00	-2.71	-6.10	4.60	0.159	0.928	0.841	0.0373
A_23_P252981	A_23_P102391	0	274	35	8	5.57	-1.92	-13.4	4.96	0.00	0.982	0.884	0.105
A_23_P252981	A_23_P102404	3	3	5	0	0.894	-0.707	-0.500	1.41	0.381	0.589	0.694	0.00
A_23_P252981	A_23_P102412	5	12	4	2	0.756	-0.302	-0.577	1.00	0.389	0.733	0.486	0.210
A_23_P252981	A_23_P102420	7	8	9	3	0.667	-0.378	-0.354	0.894	0.425	0.583	0.611	0.240
A_23_P252981	A_23_P102439	39	17	1	20	-1.64	1.92	3.02	-2.71	0.818	0.373	0.0349	0.718
A_23_P252981	A_23_P102454	12	15	6	3	0.535	-0.267	-0.447	0.894	0.530	0.663	0.458	0.229
A_23_P252981	A_23_P102462	0	218	0	42	1.00	0.0676	1.00	0.152	0.00	0.915	0.00	0.569
A_23_P252981	A_23_P102471	10	28	31	0	2.71	-3.00	-2.75	3.61	0.247	0.842	0.853	0.00
A_23_P252981	A_23_P102481	0	106	0	20	1.00	0.0967	1.00	0.218	0.00	0.913	0.00	0.555
A_23_P252981	A_23_P102494	19	17	4	8	-0.236	0.459	0.816	-0.378	0.653	0.557	0.237	0.462
A_23_P252981	A_23_P102508	5	31	19	3	2.58	-1.92	-2.85	2.77	0.168	0.862	0.793	0.108
